x,y,live_count,dead_count,pipo_count,non_pipo_count,pipo_ba,non_pipo_ba,site,forest,elev,rep,crs
-65788.79335750431,98168.4138665805,29,1,18,11,5.076919746662952,1.4093614519235826,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98168.4138665805,16,3,12,4,3.322386182301872,0.7288022566213628,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98168.4138665805,24,1,14,10,3.2634793596007072,1.5994781931918893,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98148.4138665805,16,3,11,5,0.6440004412457071,0.21104565356894492,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98148.4138665805,6,9,5,1,0.32647169913839685,0.002876500026479531,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98148.4138665805,5,9,4,1,0.27596547940046323,0.00397603719597544,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98148.4138665805,3,13,1,2,0.25880482730444027,0.017010384555553554,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98148.4138665805,10,14,7,3,1.5589703698905746,0.26379954278447343,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98148.4138665805,21,2,15,6,2.451359138978011,1.1054948456901204,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98148.4138665805,13,2,10,3,0.9450449072400215,0.46142744831396243,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98148.4138665805,11,4,10,1,1.0628410090595064,0.20210271983027361,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98148.4138665805,16,2,16,0,1.5248130005511278,0,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98148.4138665805,26,2,22,4,2.708534583281423,0.2995856081557206,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98148.4138665805,15,5,12,3,2.0192717870658976,0.324919698955848,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98148.4138665805,16,3,12,4,1.9453957576648762,0.3922285313981621,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98148.4138665805,15,1,12,3,1.8884107853245011,0.34547117575829767,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98148.4138665805,29,1,20,9,1.184683493698765,0.7271460582803894,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98148.4138665805,22,0,11,11,0.6219003820109765,1.0094882150954412,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98148.4138665805,27,0,15,12,0.6725008841494728,0.5751111438765053,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98148.4138665805,22,1,13,9,0.9981915544183898,1.3627277140840783,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98148.4138665805,28,2,15,13,1.5342185904836114,1.3300452775323819,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98148.4138665805,22,0,13,9,2.086731700868221,0.2837838794933356,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98148.4138665805,30,3,15,15,2.641562849071903,2.5596069687788985,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98148.4138665805,11,2,4,7,0.5982732352783241,0.3823884534208276,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98148.4138665805,21,1,12,9,3.4641467720265475,0.8736337082352741,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98148.4138665805,30,1,20,10,2.3458749542061685,0.6913725643175019,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98148.4138665805,36,0,12,24,2.719394263654414,7.203585204949456,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98148.4138665805,30,0,23,7,5.650059251649627,1.7231131439251601,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98148.4138665805,26,0,11,15,1.938016842017527,4.102043023277149,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98148.4138665805,25,1,19,6,3.5673212502510374,0.959695237123901,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98128.4138665805,1,10,0,1,0.3648834082227486,0.0021542521030815448,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98128.4138665805,5,5,4,1,0.2079272780325867,0.003611072402557815,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98128.4138665805,2,15,1,1,1.2993073354899354,0.1371561113015494,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98128.4138665805,10,11,7,3,1.03644334784507,0.1482427936600969,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98128.4138665805,13,7,8,5,1.4188160934209917,0.4606328831486186,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98128.4138665805,36,0,24,12,2.99145416261305,1.781983475716417,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98128.4138665805,21,1,16,5,1.8400155742293416,0.7520198606086301,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98128.4138665805,28,3,18,10,3.2615963370247245,2.1750366717785297,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98128.4138665805,19,3,17,2,2.929455646001876,0.27440601580386903,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98128.4138665805,24,4,19,5,1.5553548962118884,1.2831238961087779,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98128.4138665805,17,0,10,7,1.2878667281918676,0.9241746940047186,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98128.4138665805,27,1,21,6,2.1601133461244455,0.3349502192220729,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98128.4138665805,17,3,9,8,1.9727416848885617,0.7887770732372744,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98128.4138665805,36,2,23,13,1.935588573400215,1.4904176807180711,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98128.4138665805,34,0,18,16,1.7439447325831612,1.0750449091876062,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98128.4138665805,33,1,10,23,0.8341375453951618,4.691445249376573,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98128.4138665805,30,1,20,10,2.9945995319562497,1.3939606703528309,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98128.4138665805,26,2,13,13,0.6614953410782625,1.5042894605874124,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98128.4138665805,21,3,11,10,1.704229956844471,1.3131763920901736,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98128.4138665805,24,0,14,10,2.843435478628942,2.262255608148901,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98128.4138665805,26,2,11,15,3.220877895948772,3.311611748228194,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98128.4138665805,29,2,16,13,3.0379436576100325,2.126753913117469,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98128.4138665805,26,3,12,14,3.231223273767471,1.8846717809352347,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98128.4138665805,31,0,20,11,4.20940181741878,1.7744385634710254,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98128.4138665805,22,0,15,7,1.5604559540827627,1.121463016409672,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98128.4138665805,27,0,18,9,4.1414092971131735,2.791403451271178,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98128.4138665805,20,1,15,5,2.3227136469020375,0.7108022645680216,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98108.4138665805,4,10,3,1,0.4195097327677867,0.06523059398179254,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98108.4138665805,4,11,3,1,0.6785984946049899,0.06440256883209455,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98108.4138665805,4,14,3,1,1.1725206664927452,0.01671959801007887,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98108.4138665805,14,12,13,1,2.694565868065757,0.025146284013912366,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98108.4138665805,19,7,14,5,1.598288087287753,0.2981973988257226,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98108.4138665805,25,2,15,10,1.4652636716048693,0.6948844642945129,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98108.4138665805,27,1,21,6,2.4801960989690888,0.990561158459815,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98108.4138665805,33,0,20,13,4.097545967183479,3.801208743780547,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98108.4138665805,26,1,13,13,1.8831253765924336,2.6458518226148664,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98108.4138665805,21,3,19,2,2.4128730954320474,0.1563526287381501,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98108.4138665805,29,5,27,2,2.3500154108455957,0.10171515980474174,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98108.4138665805,29,0,24,5,1.9125210809533058,0.3044966964441301,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98108.4138665805,26,0,20,6,1.5586960175091895,0.5051440757212813,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98108.4138665805,23,0,6,17,0.8747851477390854,2.415124744074557,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98108.4138665805,19,2,10,9,1.1753994323468295,0.5786328505081316,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98108.4138665805,39,0,21,18,4.351762249048718,4.447691000308544,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98108.4138665805,33,0,15,18,2.5326498701845397,1.8694792651840664,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98108.4138665805,29,1,10,19,2.0601671990249915,4.298144158244287,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98108.4138665805,11,0,3,8,0.4306663682863263,0.4471062292658959,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98108.4138665805,31,1,14,17,3.013460663978781,3.0621146275519098,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98108.4138665805,24,3,14,10,1.2443724647791814,1.1401055498689852,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98108.4138665805,29,3,19,10,2.6354004470213988,1.2254130840391568,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98108.4138665805,28,0,16,12,3.290461019570923,1.6970096889344095,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98108.4138665805,29,0,11,18,1.8599862820519684,4.457886820271109,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98108.4138665805,28,0,15,13,2.4487008280648337,1.9001126999560078,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98108.4138665805,21,3,16,5,3.167405773124607,0.5910723783588002,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98108.4138665805,33,0,16,17,3.465823901701999,3.7255676722198348,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98088.4138665805,2,7,0,2,0.18744395145688603,0.009082304501750724,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98088.4138665805,13,5,6,7,0.6681926140900039,0.9234897656452296,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98088.4138665805,13,15,10,3,1.492574716569016,0.2075770795581341,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98088.4138665805,22,4,14,8,1.6397446064524064,0.8154475232119078,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98088.4138665805,22,1,13,9,0.7470170083628351,0.2526409179556698,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98088.4138665805,27,0,11,16,0.9822155713643879,2.516374929024582,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98088.4138665805,19,1,13,6,0.7702974830571321,0.5544924650790352,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98088.4138665805,29,0,14,15,3.351975529371936,3.1787255448329175,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98088.4138665805,18,0,14,4,1.3652026511781687,0.6040569530688563,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98088.4138665805,16,2,10,6,1.4213773467366535,1.5866238837791609,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98088.4138665805,18,2,14,4,1.0435857870399632,0.2946460366818621,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98088.4138665805,25,2,22,3,2.40773874636661,0.1515538130381611,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98088.4138665805,20,1,11,9,0.905201938951452,0.9084877017284245,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98088.4138665805,28,4,10,18,2.4942980296730326,2.8334397997042964,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98088.4138665805,28,1,17,11,1.8483527403659896,0.9064853111560429,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98088.4138665805,30,0,18,12,4.841329895278849,2.6871875721922174,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98088.4138665805,7,0,6,1,0.5138079409414824,0.11965193748964319,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98088.4138665805,16,0,8,8,1.0157393992263037,0.7210547327051944,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98088.4138665805,24,0,7,17,1.478119438341616,2.415526632477034,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98088.4138665805,25,2,16,9,2.3941815801689974,1.5616215625616596,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98088.4138665805,21,4,13,8,0.718397147022022,0.4854061266547963,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98088.4138665805,20,0,11,9,1.1608299963515338,1.072687556906217,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98088.4138665805,26,2,11,15,1.8669952215928778,2.1227841629632804,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98088.4138665805,16,8,12,4,3.046291261273584,0.683793666953165,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98088.4138665805,21,2,12,9,2.4403059997829843,1.935021655018516,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98088.4138665805,34,0,17,17,4.233430796469329,4.867142060651403,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98088.4138665805,31,6,20,11,3.1460456909102685,1.1882207894735688,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98068.4138665805,3,11,1,2,0.5923142841121194,0.005233431951787522,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98068.4138665805,8,9,6,2,1.1791008952074342,0.26837076366088,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98068.4138665805,14,10,12,2,2.3551015074391195,0.19747466631136396,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98068.4138665805,30,0,19,11,2.113717956087069,1.4116859043360872,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98068.4138665805,21,3,14,7,1.7555386674142721,1.2667840093906388,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98068.4138665805,17,5,12,5,1.6494910335788469,0.8224494041177812,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98068.4138665805,14,7,7,7,1.7241074924394457,0.7152190037288176,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98068.4138665805,21,6,13,8,2.062906769597043,1.1617045654242184,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98068.4138665805,24,0,10,14,1.140857991646985,1.4972209740134905,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98068.4138665805,15,1,6,9,0.9455128992463211,1.6767282442334754,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98068.4138665805,16,2,11,5,1.1784240056989124,0.8882816171661037,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98068.4138665805,29,1,15,14,2.533082048364801,3.122835784683571,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98068.4138665805,15,3,13,2,2.965597253874335,0.4405206178596291,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98068.4138665805,22,2,13,9,3.184200384197805,2.052507750825687,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98068.4138665805,23,1,9,14,2.199924931573593,1.9226226316972435,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98068.4138665805,22,1,10,12,1.2114380437171033,1.275919286419149,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98068.4138665805,20,1,9,11,1.0099340512124333,1.835073565298255,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98068.4138665805,27,1,14,13,3.925220342142538,2.4979135813890614,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98068.4138665805,30,0,16,14,3.6729951086086183,3.174421400588379,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98068.4138665805,16,0,7,9,0.9588306194807312,0.6159948716754001,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98068.4138665805,27,6,15,12,2.5807408687429514,2.0455382022601993,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98068.4138665805,22,1,16,6,1.0257385326147639,0.30264380736432916,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98068.4138665805,30,1,14,16,2.140924279359361,3.1641358196538216,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98068.4138665805,33,0,7,26,1.3513203274593681,5.429835878953409,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98068.4138665805,20,0,12,8,2.314664475213013,1.8271741544495987,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98068.4138665805,20,3,14,6,2.692203471073531,1.522690868303635,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98068.4138665805,28,1,16,12,2.898004818391497,2.1124031738669413,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98048.4138665805,6,9,1,5,0.39917955185635123,0.471439596627565,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98048.4138665805,5,3,3,2,0.5095897002396569,0.2478626472299802,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98048.4138665805,9,8,5,4,0.9135777599272331,0.5150643703574264,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98048.4138665805,13,5,8,5,1.4499685815682324,0.6124524809602656,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98048.4138665805,18,5,12,6,2.010967801930304,1.0768073901363706,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98048.4138665805,20,13,9,11,3.248662046421669,2.237338749498254,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98048.4138665805,19,12,8,11,2.273211198228315,1.9704958754026574,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98048.4138665805,31,1,21,10,2.7337941159889807,1.7260948003883914,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98048.4138665805,33,2,11,22,2.6405767072558577,5.569143209834345,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98048.4138665805,21,0,11,10,2.5416692808001287,2.1664561726006584,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98048.4138665805,21,0,15,6,3.3629209962898825,1.3661784675068196,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98048.4138665805,26,13,13,13,6.200988749045494,2.6820953551498645,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98048.4138665805,17,2,7,10,1.5144721218928434,1.1732156377004788,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98048.4138665805,22,3,17,5,3.511058409879319,0.6805899453243759,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98048.4138665805,25,0,22,3,3.394919629949298,0.12617381641444375,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98048.4138665805,19,4,15,4,0.9324683429380818,0.22661409567048146,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98048.4138665805,23,4,8,15,1.3156303307988946,1.5645034085215201,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98048.4138665805,23,0,8,15,1.4721468809223803,2.914715520980188,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98048.4138665805,28,0,9,19,1.8249797657783235,5.713019110168952,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98048.4138665805,19,1,13,6,2.109998836919831,0.8893138457546046,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98048.4138665805,24,2,13,11,2.3783435230702485,1.6622474237841531,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98048.4138665805,23,0,12,11,1.2476928523417985,0.9804375082403427,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98048.4138665805,27,2,13,14,2.378251657525503,2.9291827308353375,eldo_3k_1,eldo,3k,1,3310
