Estimate,Est.Error,lwr0_025,upr0_975,beta
17.10708510927971,2.8418507933163575,11.961585155749987,23.068371170499923,lscale_gpxysiteeldo_5k_2
17.549587195426007,2.6255735465932917,12.81785534869518,23.175879330817043,lscale_gpxysiteeldo_5k_3
23.692138540473238,3.228174445432903,18.252210964189487,30.76462264921496,lscale_gpxysitesequ_4k_1
20.37994623594651,2.4351568024567585,15.91949465084798,25.51314683193151,lscale_gpxysitesequ_4k_3
26.857565976698154,3.83456765732931,19.685735087244165,34.64208306213089,lscale_gpxysitesequ_5k_1
19.59389608236545,2.393198408264144,15.356159694983544,24.828072217666797,lscale_gpxysitesequ_5k_2
23.209615487282154,3.7919088004843102,16.850154299184197,31.46982937926285,lscale_gpxysitesequ_5k_3
20.30999548832615,3.003690271285412,14.922670821192074,26.709588984706166,lscale_gpxysitesequ_6k_1
27.41604545815116,2.8295876769001094,22.229428458507677,33.25259923803651,lscale_gpxysitesequ_6k_2
19.108313593528425,2.050603668665717,15.326392060632488,23.304213616910367,lscale_gpxysitesequ_6k_3
28.882063047029703,2.42948243205436,24.28183442720244,33.906318607702715,lscale_gpxysitesier_3k_1
24.553719752968977,2.772348314892245,19.320290733016382,30.185655893803393,lscale_gpxysitesier_3k_2
22.193900165290582,2.3555782570949906,17.589661667588285,26.870236455913368,lscale_gpxysitesier_3k_3
30.965587032132127,2.6345180256349727,26.07568768213285,36.35589272087769,lscale_gpxysitesier_4k_1
25.545678561085065,2.6043910579735123,20.71447042310049,30.995410747703453,lscale_gpxysitesier_4k_2
23.292603798490653,4.445383529645095,16.052684878817136,33.01599732234818,lscale_gpxysitesier_4k_3
18.90360164726481,1.4529417074508757,16.12972190350479,21.799930755862604,lscale_gpxysitesier_5k_1
23.541061885070082,2.2287214587570987,19.470507067130832,28.18472982128517,lscale_gpxysitesier_5k_2
15.363333963280477,1.8600506882239016,11.791192569973337,19.173816134506374,lscale_gpxysitesier_5k_3
21.90874348540963,3.2511794308272695,15.984473177868214,28.815354688899472,lscale_gpxysitestan_3k_1
20.346454118058762,2.198130397365065,16.303859210036354,25.008718923367056,lscale_gpxysitestan_3k_2
17.440152371471882,2.666271321204894,12.762097809125436,23.29385600001731,lscale_gpxysitestan_3k_3
15.2096861234753,1.8855702229371183,11.614456881672174,18.9951146178534,lscale_gpxysitestan_4k_1
19.901553680879772,2.4848427526150223,15.39147775974127,25.168702186206403,lscale_gpxysitestan_4k_2
20.795947606034275,2.8488373474648006,15.525222947432095,26.687458294436563,lscale_gpxysitestan_5k_1
25.73165275673161,4.4241244452702055,18.72697795364925,36.7168123914167,lscale_gpxysitestan_5k_2
0.007590472629036825,0.002668399970433533,0.0027452801472800463,0.01307583533981791,zi
-1.3101626078461843,0.5367877354793723,-2.4391329686554464,-0.35348618864428355,zgp_gpxysiteeldo_3k_1[1]
-1.2092637171348484,0.3185011252880091,-1.9053081963882432,-0.6548353166523173,zgp_gpxysiteeldo_3k_1[2]
-1.3645777229877905,0.6062782899590607,-2.564825083389473,-0.18708175796724766,zgp_gpxysiteeldo_3k_1[3]
-1.544004795070594,0.359873519417227,-2.2944534559226355,-0.9051836621177658,zgp_gpxysiteeldo_3k_1[4]
-0.18809629511157794,0.15130535531952183,-0.5036468387948584,0.09593759817126066,zgp_gpxysiteeldo_3k_1[5]
0.1611538348498371,0.2921093379552971,-0.45125212070428766,0.7093728113387884,zgp_gpxysiteeldo_3k_1[6]
-0.18450066908061524,0.23275640693194904,-0.6359908960526028,0.27573125371155727,zgp_gpxysiteeldo_3k_1[7]
-0.8564962494030564,0.3430422550719585,-1.5841047082081001,-0.23268365790928633,zgp_gpxysiteeldo_3k_1[8]
-1.1550930256371095,0.34201164846564275,-1.8809818064721406,-0.5455766786601619,zgp_gpxysiteeldo_3k_1[9]
-1.9928742920046785,0.6134969036895672,-3.270136912143661,-0.8869576237755683,zgp_gpxysiteeldo_3k_1[10]
0.07448399723396568,0.2518918046793372,-0.4084010872206202,0.59009309995472,zgp_gpxysiteeldo_3k_1[11]
0.15766231844154763,0.2975049827603012,-0.4365378794203246,0.7439756366664831,zgp_gpxysiteeldo_3k_1[12]
-0.8203637770094757,0.6525296778672149,-2.1357673916933186,0.446882581649886,zgp_gpxysiteeldo_3k_1[13]
-1.3989341422956285,0.6815400677266353,-2.8324862723636817,-0.17826528914916903,zgp_gpxysiteeldo_3k_1[14]
-0.1636287784453728,0.4497780575161683,-1.0622722956268082,0.7069914004843928,zgp_gpxysiteeldo_3k_1[15]
0.5007194952291094,0.42426061804296145,-0.2841318716716107,1.390655446902037,zgp_gpxysiteeldo_3k_1[16]
-0.5138537845555506,0.2808516568253348,-1.089438512223431,0.01411010244684512,zgp_gpxysiteeldo_3k_1[17]
-0.3686180151751219,0.46750131082597235,-1.2807576141975974,0.56165506904644,zgp_gpxysiteeldo_3k_1[18]
0.3055529211981501,0.5110794976141454,-0.6915784089526072,1.3157589075751455,zgp_gpxysiteeldo_3k_1[19]
0.39716854940493035,0.4961894827105072,-0.6010347310799419,1.3673124498799891,zgp_gpxysiteeldo_3k_1[20]
0.1166596468416048,0.48931043570316796,-0.8419063306153463,1.092479157519776,zgp_gpxysiteeldo_3k_1[21]
-1.1802147441805588,0.5808763235901122,-2.364697892973963,-0.06802439211242445,zgp_gpxysiteeldo_3k_1[22]
-0.35778899097785627,0.5244268753227785,-1.4250011788984651,0.635397174179993,zgp_gpxysiteeldo_3k_1[23]
-1.6569064523422612,0.6105783471634727,-2.863928873809715,-0.5006298326513554,zgp_gpxysiteeldo_3k_1[24]
-0.04769997177993099,0.6945191733669012,-1.4042899382449943,1.3086819599508677,zgp_gpxysiteeldo_3k_1[25]
-0.8765868749690287,0.6724632041756933,-2.209391302610416,0.41162385577281874,zgp_gpxysiteeldo_3k_1[26]
0.5550269719664277,0.8009824875143219,-1.0220746808927648,2.1060533113344055,zgp_gpxysiteeldo_3k_1[27]
0.03729571606925703,0.6697565494789219,-1.277056508214182,1.3445237555890706,zgp_gpxysiteeldo_3k_1[28]
-0.3636985779732212,0.6000440126932306,-1.587147935185297,0.7735294582742831,zgp_gpxysiteeldo_3k_1[29]
1.1392271190536445,0.41201856011540666,0.3609696915397546,1.9701455344692034,zgp_gpxysiteeldo_3k_1[30]
-0.6076430957691715,0.6510764917504734,-1.9021901682533298,0.671165965517673,zgp_gpxysiteeldo_3k_1[31]
0.6841047658404615,0.8246647641142596,-0.8995736216646891,2.305748334360496,zgp_gpxysiteeldo_3k_1[32]
-0.8578498743577456,0.7828001725265888,-2.392900386489827,0.671704836095829,zgp_gpxysiteeldo_3k_1[33]
0.8846781281858107,0.6722238162323289,-0.3996879031103302,2.2406157715554085,zgp_gpxysiteeldo_3k_1[34]
-0.17479300842555476,0.743838020237761,-1.6702606678071423,1.2156620834891607,zgp_gpxysiteeldo_3k_1[35]
0.26619253881260924,0.81782812607373645,-1.3431598514601806,1.8742467832945406,zgp_gpxysiteeldo_3k_1[36]
0.4552845904299868,0.6315886880631997,-0.7930457039675596,1.6842873848709121,zgp_gpxysiteeldo_3k_1[37]
0.5328798572558453,0.7335104850532913,-0.9043441121553589,1.973998690352926,zgp_gpxysiteeldo_3k_1[38]
0.5433849800563045,0.6073469531713012,-0.6895581320800095,1.710750361154635,zgp_gpxysiteeldo_3k_1[39]
0.17568230660730685,0.40560236429308055,-0.6257624127119773,0.9727252200806142,zgp_gpxysiteeldo_3k_1[40]
-1.5913582914451005,0.7453794267146215,-3.0668358041780848,-0.11267489959776733,zgp_gpxysiteeldo_3k_1[41]
0.12471703241959707,0.840850594384585,-1.5311546015324617,1.799992652381004,zgp_gpxysiteeldo_3k_1[42]
-0.4352661624516229,0.9175318897030266,-2.2392642556406304,1.3374612437600937,zgp_gpxysiteeldo_3k_1[43]
-0.6032273826024195,0.554991493331894,-1.728254379394472,0.4524983129752864,zgp_gpxysiteeldo_3k_1[44]
-0.16131386911473086,0.4222028833232992,-1.0117400409594814,0.6308299228173213,zgp_gpxysiteeldo_3k_1[45]
-0.47219024942135146,0.74572274667295,-1.9898718618132796,0.983730496449652,zgp_gpxysiteeldo_3k_1[46]
-0.2239082759058497,0.7566298168094201,-1.7353772944037884,1.2813714547255473,zgp_gpxysiteeldo_3k_1[47]
0.35840683167653486,0.8664220711927222,-1.3816960086164336,2.011345744112095,zgp_gpxysiteeldo_3k_1[48]
-0.04082169995110218,0.7406219060139867,-1.5284595275942472,1.386080317321242,zgp_gpxysiteeldo_3k_1[49]
-0.6489482580408131,0.7202243940527704,-2.100392662296666,0.7368365620978495,zgp_gpxysiteeldo_3k_1[50]
-0.45892847509666446,0.7376714837275546,-1.9215053751453326,0.9823250099099484,zgp_gpxysiteeldo_3k_1[51]
0.7999974843653243,0.8687170262254736,-0.9494857130874785,2.479512326337804,zgp_gpxysiteeldo_3k_1[52]
-0.5181163340529139,0.534417698969345,-1.5323344416546738,0.6171352725781916,zgp_gpxysiteeldo_3k_1[53]
0.2553872987890907,0.8256029753353272,-1.3836768931710564,1.8719074484654186,zgp_gpxysiteeldo_3k_1[54]
-0.020618785241998006,0.6243517721742484,-1.2049707825927178,1.235544307759365,zgp_gpxysiteeldo_3k_1[55]
-0.49876563164992954,0.8672022666404816,-2.1725074245069056,1.2009537206221514,zgp_gpxysiteeldo_3k_1[56]
-0.30101016529856794,0.7519015816967538,-1.7940405241119175,1.1294283976558424,zgp_gpxysiteeldo_3k_1[57]
0.05681561352875589,0.8939133301082555,-1.7311659114313402,1.7910266298030375,zgp_gpxysiteeldo_3k_1[58]
0.30650732141419035,0.8641851078390383,-1.4021426135743136,1.982223701128388,zgp_gpxysiteeldo_3k_1[59]
-0.46208789655855154,0.9140615015569136,-2.258040194799175,1.3675589201806533,zgp_gpxysiteeldo_3k_1[60]
-0.33259814225267237,0.9529003934496219,-2.203172933107036,1.499898700108217,zgp_gpxysiteeldo_3k_1[61]
0.15240647529665796,0.9485529999493099,-1.709016768880396,2.0199566026940747,zgp_gpxysiteeldo_3k_1[62]
-0.405439633234574,0.6752693298679698,-1.7030200372793711,0.9631751166873204,zgp_gpxysiteeldo_3k_1[63]
-0.1915973266442717,0.8305841379703066,-1.7893254405520902,1.4487692736637756,zgp_gpxysiteeldo_3k_1[64]
