forest,elev,rep,site,plot,live_count,dead_count,pipo_count,abco_count,cade_count,pipo_and_dead_count,total_count,live_tpha,dead_tpha,pipo_tpha,abco_tpha,cade_tpha,pipo_and_dead_tpha,overall_tpha,live_ba,dead_ba,pipo_ba,pipo_and_dead_ba,total_ba,live_bapha,dead_bapha,pipo_bapha,pipo_and_dead_bapha,overall_bapha,live_qmd,dead_qmd,pipo_qmd,pipo_and_dead_qmd,overall_qmd,live_sdi_ac,pipo_and_dead_sdi_ac,overall_sdi_ac,plot_cwd,plot_cwd_zscore,pipo_and_dead_tpha_s,overall_tpha_s,pipo_and_dead_bapha_s,overall_bapha_s,pipo_and_dead_qmd_s,overall_qmd_s,live_sdi_ac_s,pipo_and_dead_sdi_ac_s,overall_sdi_ac_s,x_3310,y_3310
eldorado,3000,3,eldo_3k_3,eldo_3k_3_1,4,5,0,1,3,5,9,98.84206520611042,123.55258150763802,0,24.710516301527605,74.13154890458281,123.55258150763802,222.39464671374844,196.39981889819015,25609.75605480618,0,25609.75605480618,25806.15587370437,4853.140926500797,632830.2944704334,0,632830.2944704334,637683.4353969342,7.906706267466878,80.75562412612511,NaN,80.75562412612511,60.42205093801066,5.069399690937071,387.35587111410916,417.2562013359553,582.7388435897649,-0.3030576766734423,-0.5934424260562083,-0.9196090581938351,0.0503900927742969,-0.3360091477109407,0.7036622784756977,0.7905000167671539,-1.0349582705945954,-0.04263861055558133,-0.51497265613754994,-46411.030675783346,59893.45179244969
eldorado,3000,3,eldo_3k_3,eldo_3k_3_2,6,5,0,2,4,5,11,148.26309780916563,123.55258150763802,0,49.42103260305521,98.84206520611042,123.55258150763802,271.81567931680365,2738.5005707824266,29654.599177449865,0,29654.599177449865,32393.09974823229,67669.7629960618,732780.456389642,0,732780.456389642,800450.2193857037,24.10659391121027,86.89926162632223,NaN,86.89926162632223,61.23292012397491,54.698577234085185,441.0347387805219,522.1561592836213,651.6796088877635,0.14464773653347524,-0.5934424260562083,-0.6776066744586153,0.542829192940922,0.45748566865841056,1.138724713941206,0.850004002579755,-0.5373660622178271,0.39619649624143044,0.2979210816826371,-46327.319459657236,60074.062218644656
eldorado,3000,3,eldo_3k_3,eldo_3k_3_3,14,4,0,10,4,4,18,345.94722822138647,98.84206520611042,0,247.10516301527605,98.84206520611042,98.84206520611042,444.7892934274969,2619.9816914215216,13378.850924350781,0,13378.850924350781,15998.832615772302,64741.10029557537,330598.31386187766,0,330598.31386187766,395339.414157453,15.436191924916493,65.2581068910216,NaN,65.2581068910216,33.640539660752566,57.981367979894536,212.5236795379884,295.98128782806936,661.5787624776972,0.20893342627339845,-0.9231326627541018,0.16940166861465378,-1.4386604671713343,-1.5174462930495154,-0.3937962860565521,-1.1748067116997163,-0.5044521358198747,-1.4719255310371109,-1.4547596653413875,-46238.148491250744,60142.259412577376
eldorado,3000,3,eldo_3k_3,eldo_3k_3_4,20,10,1,0,24,11,30,494.2103260305521,247.10516301527605,24.710516301527605,0,593.0523912366625,271.81567931680365,741.3154890458281,8889.6760132865,21783.759892384707,324.2927866223985,22108.052679007105,30673.435905671206,219668.48404161498,538287.9539293355,8013.442190300591,546301.3961196361,757956.4379709505,23.78937477110317,52.664926210904355,20.32,50.58642193675726,36.080757368251945,178.1034273883868,372.37208772797965,558.3975039549167,676.3744012667576,0.3050171809152819,1.3846989941311525,1.6214159710259723,-0.37592450266096133,0.25032672348403506,-1.4327734373582195,-0.9957362989129318,0.6999160156343945,-0.16513393261301218,0.5787635406298246,-46211.16350170658,60235.5943597625
eldorado,3000,3,eldo_3k_3,eldo_3k_3_5,9,6,3,0,6,9,15,222.39464671374844,148.26309780916563,74.13154890458281,0,148.26309780916563,222.39464671374844,370.6577445229141,14180.158131795566,23925.460394286103,11302.566358000875,35228.026752286976,38105.618526081664,350399.0286739736,591210.4790945598,279292.2502384781,870502.7293330379,941609.5077685332,44.78930686372958,71.25405520623605,69.26007614780683,70.59565358355208,56.872711900641185,245.6209550007195,549.5710234209567,624.7633573176338,659.1266506535962,0.193009266849097,0.7253185207353656,-0.19360190698817586,1.2213656841170757,1.1456430486180094,-0.015817269002132116,0.5300389912657387,1.3768604529979032,1.283501577964275,1.0930476991664761,-46141.47877045562,60135.15987119172
eldorado,4000,1,eldo_4k_1,eldo_4k_1_1,14,8,0,7,6,8,22,345.94722822138647,197.68413041222084,0,172.97361411069323,148.26309780916563,197.68413041222084,543.6313586336073,16178.815112347736,31208.519003598165,0,31208.519003598165,47387.3341159459,399786.8745730699,771178.6175849464,0,771178.6175849464,1170965.4921580164,38.35874568558556,70.47687610840877,NaN,70.47687610840877,52.36906951279891,290.41051757041305,487.05372755490725,791.8255299987907,576.2720716310196,-0.34505327680045494,-0.5252257314388903,-0.3697416135079923,-0.34872313306957253,0.27859657658277576,0.3585553156120523,0.738812823412489,0.09029468845570995,-0.39181534670431845,0.21368966648207638,-31211.881351060514,56726.832038354594
eldorado,4000,1,eldo_4k_1,eldo_4k_1_2,14,15,0,4,14,15,29,345.94722822138647,370.6577445229141,0,98.84206520611042,345.94722822138647,370.6577445229141,716.6049727443005,7400.209378479406,35066.74176169024,0,35066.74176169024,42466.951140169644,182862.99448163284,866517.2939437054,0,866517.2939437054,1049380.2884253382,25.942572870531887,54.5578361716567,NaN,54.5578361716567,43.179896957280704,145.33675104311106,580.4605563592111,741.806704756482,600.9108922497178,-0.18504731634521698,1.3130643285972257,1.0681424390230896,0.1642341911297085,-0.26648636658745767,-1.5599780351911159,-1.3640174001543333,-1.105018191659236,0.3682891349234689,-0.12616504376471538,-31185.468974877065,56895.251361911185
eldorado,4000,1,eldo_4k_1,eldo_4k_1_3,17,12,0,5,8,12,29,420.0787771259693,296.52619561833126,0,123.55258150763802,197.68413041222084,296.52619561833126,716.6049727443005,17963.489524477034,39079.00359342796,0,39079.00359342796,57042.49311790499,443887.1007269101,965662.3553428574,0,965662.3553428574,1409549.4560697675,36.679714881180665,64.39263204746332,NaN,64.39263204746332,50.044379603818,325.78206853406226,622.6809815472452,963.166164512425,571.4108061301329,-0.3766226228959819,0.5252257314388903,1.0681424390230896,0.6976712740141733,1.3482008150077618,-0.37470656398164476,0.20683585035082855,0.3817331164263196,0.7118607432572783,1.3778697809498124,-31124.97426818033,56819.10054086242
eldorado,4000,1,eldo_4k_1,eldo_4k_1_4,14,5,0,3,13,5,19,345.94722822138647,123.55258150763802,0,74.13154890458281,321.23671191985886,123.55258150763802,469.4998097290245,9674.008520181516,22338.503240500646,0,22338.503240500646,32012.511760682162,239049.7452390623,551995.9484761184,0,551995.9484761184,791045.6937151807,29.66157953120019,75.42183463162375,NaN,75.42183463162375,46.31675603357476,184.22824828887082,343.22916156951703,550.2428657310895,569.7462851903072,-0.3874321204687898,-1.3130643285972257,-0.985977636021313,-1.5280069216743384,-1.4246353590989194,0.9545126021581872,-0.6461854046347904,-0.7845777102572252,-1.5621976257420307,-1.4277524499133374,-31021.580202799018,56803.7047388684
eldorado,4000,1,eldo_4k_1,eldo_4k_1_5,13,7,3,3,9,10,20,321.23671191985886,172.97361411069323,74.13154890458281,74.13154890458281,222.39464671374844,247.10516301527605,494.2103260305521,26895.37427077235,18557.756055962578,22906.725007560577,41464.481063523155,45453.13032673493,664598.5843536062,458571.7335406359,566037.0017139356,1024608.7352545715,1123170.3178942422,51.324198889922364,58.09901507893965,98.59977707885551,72.65962908796052,53.79252873959357,451.5001835460102,642.5889366143216,754.8352750121302,566.870540720695,-0.406107375384804,0,-0.7805656285168728,1.0148245896000279,0.0643243340958374,0.6216166814025212,1.0645541310258027,1.4175680970344309,0.8738630942656037,-0.03764195375383689,-30907.40781974587,56689.892939941026
eldorado,4000,2,eldo_4k_2,eldo_4k_2_1,3,6,3,0,0,9,9,74.13154890458281,148.26309780916563,74.13154890458281,0,0,222.39464671374844,222.39464671374844,5216.553497308739,10224.039488741852,5216.553497308739,15440.59298605059,15440.59298605059,128903.73023303843,252641.29445401748,128903.73023303843,381545.02468705585,381545.02468705585,47.05288584844362,46.57905713944841,47.05288584844362,46.73753379125699,46.73753379125699,89.33944802268859,264.84713734831183,264.84713734831183,641.8172162137334,0.08060077435877942,-0.4759712938469838,-0.7302967433402214,-0.8735525573236522,-0.781395901851956,-0.194040206523245,-0.12342546331223214,0.07303285826474307,-1.0843823434445428,-0.921664606815498,-29558.551126545677,51712.73020889517
eldorado,4000,2,eldo_4k_2,eldo_4k_2_2,0,12,0,0,0,12,12,0,296.52619561833126,0,0,0,296.52619561833126,296.52619561833126,0,17661.69454992656,0,17661.69454992656,17661.69454992656,0,436429.5910885615,0,436429.5910885615,436429.5910885615,NaN,43.289305769439174,NaN,43.289305769439174,43.289305769439174,NaN,308.33247352447324,308.33247352447324,641.6632373345288,0.0796008263970553,0.41647488211611056,0.3651483716701107,-0.2791443250307182,-0.3251444637421598,-0.4550400159035905,-0.45495729514669975,NaN,-0.1783011310101313,-0.27772684468666986,-29556.178379216577,51815.76823353302
eldorado,4000,2,eldo_4k_2,eldo_4k_2_3,3,5,1,0,0,6,8,74.13154890458281,123.55258150763802,24.710516301527605,0,0,148.26309780916563,197.68413041222084,7078.703482992044,20460.341298477862,4379.776766327132,24840.118064804992,27539.044781469907,174918.41781015514,505585.59719085565,108226.54518137845,613812.142372234,680504.0150010108,54.81145014197916,72.18159826437761,74.676,72.60328346110342,66.2040414551861,117.04901509826189,385.0243139279895,436.0134405379274,641.8244841137885,0.08064797253221441,-1.3684174698100782,-1.0954451150103321,1.6419357829328565,1.7038286013127926,1.7637641180732233,1.7481929170290587,1.2050810941990868,1.4196866471029463,1.6129931863604974,-29648.27894951255,51839.88678279612
eldorado,4000,2,eldo_4k_2,eldo_4k_2_4,2,13,2,0,0,15,15,49.42103260305521,321.23671191985886,49.42103260305521,0,0,370.6577445229141,370.6577445229141,3320.1500860384444,16018.796890448746,3320.1500860384444,19338.94697648719,19338.94697648719,82042.62282457126,395832.74169229344,82042.62282457126,477875.3645168647,477875.3645168647,45.97470165210428,39.60940608957967,45.97470165210428,40.515932704719184,40.515932704719184,57.165341854398264,342.7940849700909,342.7940849700909,642.2205736546084,0.08322020147068379,1.308921058079205,1.4605934866804429,0.169719727921977,0.019391258593752618,-0.6649593822136255,-0.7216048157541893,-1.2414099127551204,0.5397574475091803,0.23258616896342127,-29785.290002980753,51805.25268549612
eldorado,4000,2,eldo_4k_2,eldo_4k_2_5,4,7,4,0,0,11,11,98.84206520611042,172.97361411069323,98.84206520611042,0,0,271.81567931680365,271.81567931680365,4854.764357233125,11387.693214489256,4854.764357233125,16242.457571722382,16242.457571722382,119963.73378948432,281395.778813432,119963.73378948432,401359.5126029164,401359.5126029164,39.310551891317935,45.51179018985866,39.310551891317935,43.35953212176282,43.35953212176282,86.65337702452922,283.45017283233284,283.45017283233284,680.8371139173393,0.3339983011946418,0.11899282346174578,0,-0.6589586285004618,-0.6166794943124305,-0.4497245134327633,-0.4482053428159381,-0.03670403970870892,-0.6967606201574525,-0.6461879038217508,-29934.045799735315,51775.99914651271
eldorado,4000,3,eldo_4k_3,eldo_4k_3_1,17,3,9,1,4,12,20,420.0787771259693,74.13154890458281,222.39464671374844,24.710516301527605,98.84206520611042,296.52619561833126,494.2103260305521,16281.626059856617,4628.316784824455,12593.657014741299,17221.973799565752,20909.94284468107,402327.38616746356,114368.09736003852,311195.7669586123,425563.8643186508,516695.4835275021,34.92042226683574,44.32063460736997,42.20945408054667,42.7470253156092,36.48517925678864,298.6372201732963,301.5289447146769,379.6824248687201,625.3276064305022,-0.026483728253156136,-0.10968169942141624,0.47639306734033093,0.2344809671544087,0.6151083831156138,-0.05270317404504805,-0.46160808528530306,1.3506294253892845,0.17732066016412332,0.5981875786475697,-35327.423192220835,81225.82097854465
eldorado,4000,3,eldo_4k_3,eldo_4k_3_2,1,3,1,0,1,4,4,24.710516301527605,74.13154890458281,24.710516301527605,0,24.710516301527605,98.84206520611042,98.84206520611042,2943.007709346177,6413.193879945391,2943.007709346177,9356.201589291568,9356.201589291568,72723.23997732012,158473.33191524766,72723.23997732012,231196.57189256776,231196.57189256776,61.214000000000006,52.17129496827415,61.214000000000006,54.57262558279564,54.57262558279564,47.442783926543875,154.8637585973766,154.8637585973766,605.0658859241421,-0.158064541323219,-1.20649869363558,-1.4291792020209928,-1.4338747477465572,-1.4819615421322847,1.4298801391406586,1.6812814680518922,-1.1036473523309673,-1.41176870734803,-1.4908166145594872,-35379.54213425791,81159.46310239052
eldorado,4000,3,eldo_4k_3,eldo_4k_3_3,7,4,4,1,3,8,11,172.97361411069323,98.84206520611042,98.84206520611042,24.710516301527605,74.13154890458281,197.68413041222084,271.81567931680365,9684.345352755106,4609.16324211457,8917.747607628502,13526.910849743072,14293.508594869674,239305.17370887814,113894.8034306739,220362.1476312129,334256.9510618868,353199.977139552,41.97021302236691,38.30329263914527,53.2785813061872,46.39908109542688,40.675054200109166,170.27396091114144,232.41058864686337,253.1324456439197,601.0670774666962,-0.18403304029530823,-0.6580901965284981,-0.5954913341754137,-0.5492538302000397,-0.585812164692851,0.4051574702898652,0.03478256511409555,0.09646563487394527,-0.5715635681587268,-0.5777087187346154,-35479.6373957853,81182.68066065293
eldorado,4000,3,eldo_4k_3,eldo_4k_3_4,13,7,11,0,2,18,20,321.23671191985886,172.97361411069323,271.81567931680365,0,49.42103260305521,444.7892934274969,494.2103260305521,11390.93614235548,10773.563749823088,10271.112613550009,21044.676363373095,22164.499892178566,281475.913235335,266220.3226655503,253804.49567195328,520024.81833750353,547696.2359008853,33.40127858906924,44.267575047334915,34.48001627820751,38.58246158266445,37.56375763418777,211.08061279391382,377.24805303603586,399.77487847418575,599.2938225790274,-0.1955486625657214,0.7129310462392064,0.47639306734033093,1.0452885392786269,0.8428176415852509,-0.5748172788397691,-0.33382474341792606,0.4951640279944952,0.9977227824151329,0.784885687526913,-35542.177742868844,81256.86840144778
